"id","category","question","answer1","answer2","response1","response2","responses","stat","source","url","created","updated"
"0x77x9vpsk","socialandpolitical","Do you think Hiliary Clinton is more qualified than Trump?","Yes","No",0,0,0,"","","","2016-07-14T00:46:47.752Z","2016-07-14T00:46:47.752Z"
"0xcpag2flu","socialandpolitical","Do you think we will ever get out of our national debt?","Yes","No",0,0,0,"","","","2016-07-14T00:46:46.828Z","2016-07-14T00:46:46.828Z"
"0ysne301lw","environmental","Do you think the world's oil reserves are enough to last another century?","Yes","No",0,0,0,"According to the World Fact Book 2008, the worldäó»s oil reserves will last until 2052 and gas reserves will last until 2065.","Morris, Neil. 2010. Fossil Fuels.","http://facts.randomhistory.com/energy-facts.html","2016-07-14T00:46:15.799Z","2016-07-14T00:46:15.799Z"
"102394dhun","healthandsafety","Do you think you are okay to drive after having just one or two drinks?","Yes","No",0,0,0,"According to a UC-San Diego study, people with a BAC of just .01% (well below the .08% legal limit) are 46% more likely to cause a crash than drivers who are totally sober.","","","2016-07-14T00:46:35.613Z","2016-07-14T00:46:35.613Z"
"1038e65lga","socialandpolitical","Do you think the open carry law will help prevent violence?","Yes","No",0,0,0,"","","","2016-07-14T01:38:09.249Z","2016-07-14T01:38:09.249Z"
"10igrpnmvg","environmental","Do you think solar energy is a major source of electricity generation in the U.S.?","Yes","No",0,0,0,"According to a study by the  MIT Energy Initiative (MITEI), solar energy today accounts for only about 1% of U.S. and global electricity generation.","GreenFacts.org","http://www.greenfacts.org/en/solar-energy/l-2/index.htm#0","2016-07-14T00:46:13.504Z","2016-07-14T00:46:13.504Z"
"12thk8qipk","healthandsafety","Do you think you are more likely to eat poorly on days when you consume alcohol?","Yes","No",0,0,0,"According to a study in the American Journal of Clinical Nutrition, men eat more calories and make unhealthier food choices on days they drink alcohol.","","","2016-07-14T00:46:35.860Z","2016-07-14T00:46:35.860Z"
"16g7kacqhr","ethical","Do you think you can generally base a man or a woman's looks on the looks of their father or mother?","Yes","No",0,0,0,"","","","2016-07-14T01:37:50.615Z","2016-07-14T01:37:50.615Z"
"16rdsg1o5r","financial","If you had an emergency cost of $400 right now, would you be bale to cover it?","Yes","No",0,0,0,"52 percent of Americans would not be able to cover an emergency of $400. The Federal Reserve reports a majority of people polled would need to sell something or borrow funds to cover an emergency amounting to $400.","Frugal Rules","http://www.frugalrules.com/scary-money-statistics-change/","2016-07-14T01:37:53.165Z","2016-07-14T01:37:53.165Z"
"17wx4kns5x","financial","Would you say that Texans, in general, have a lower financial literacy than residents in other states?","Yes","No",0,0,0,"According to a WalletHub study, Texas ranks 39th in the country in financial literacy, ranks 45th in financial planning and daily habits, and ranks 50th in percentage of unbanked households (12.8%).","WalletHub","","2016-07-14T00:46:24.741Z","2016-07-14T00:46:24.741Z"
"19g817x2ka","healthandsafety","Do you worry about poisonous spiders?","Yes","No",0,0,0,"Annually, in the U.S., less than 7 people die from being bitten by a poisonous spider.","","","2016-07-14T00:46:35.147Z","2016-07-14T00:46:35.147Z"
"1ausc376tm","socialandpolitical","Do you believe the economy will take a downward turn if Sanders is elected?","Yes","No",0,0,0,"","","","2016-07-14T00:46:49.091Z","2016-07-14T00:46:49.091Z"
"1cweh4offj","environmental","Do you care about your car's fuel efficiency?","Yes","No",1,0,1,"","","","2016-07-14T00:46:18.491Z","2016-07-14T00:46:18.491Z"
"1dbib66am3","environmental","Do you make a conscious effort to recycle aluminum cans?","Yes","No",0,0,0,"Recycling one aluminum can saves enough energy to run a television for three hours.","Zimrig, Carl A. 2005. Cash for Your Trash. New Brunswick,","http://facts.randomhistory.com/2008/12/21_recycling.html","2016-07-14T01:37:41.329Z","2016-07-14T01:37:41.329Z"
"1dcp5jeg81","environmental","Do you think the air you breathe is clean?","Yes","No",0,0,0,"According to a report by the American Lung Association, almost half o f the U.S. population lives in areas where air pollution levels are dangerously high.","American Lung Association YEAR???","http://www.stateoftheair.org/2014/key-findings/","2016-07-14T00:46:13.166Z","2016-07-14T00:46:13.166Z"
"1i3bbqv5wp","healthandsafety","Do you ever binge drink (consume more than 8 drinks in a row)?","Yes","No",0,0,0,"","","","2016-07-14T01:37:57.168Z","2016-07-14T01:37:57.168Z"
"1l4ivcfq4i","socialandpolitical","Do you discuss social issues with your friends?","Yes","No",0,0,0,"","","","2016-07-14T00:46:45.840Z","2016-07-14T00:46:45.840Z"
"1lp2fy7bu0","healthandsafety","Do you fear being sexually assaulted in the neighborhood you live in?","Yes","No",0,0,0,"","","","2016-07-14T01:37:56.855Z","2016-07-14T01:37:56.855Z"
"1mshmce7ov","healthandsafety","In the U.S., do you think annual dental visits are more common in the east or the west?","Yes","No",0,0,0,"According to a 2013 Gallup-Healthways Well-Being Index survey, 68.9% of adults living in the east have visited the dentist in the past year, while only 65.5% of adults living in the west have.","","","2016-07-14T00:46:33.189Z","2016-07-14T00:46:33.189Z"
"1n5qi1hghi","environmental","Do you worry about pollution from cooking in your own home?","Yes","No",0,0,0,"The soot and smoke from indoor cooking fires in undeveloped countries create deadly indoor pollution and kill as many as 2 million people annually, higher than the deathrate attributed to malaria.","Fox News","http://www.foxnews.com/health/2011/10/26/dangers-indoor-air-pollution.html","2016-07-14T00:46:14.821Z","2016-07-14T00:46:14.821Z"
"1n6d2cbmhv","ethical","The majority of arranged marriages end in divorce.","TRUE","FALSE",1,0,1,"According to the Statistic Brain Research Institute, the global divorce rate for arranged marriages is 6.3 %.","Statistic Brain Research Institute","http://www.statisticbrain.com/arranged-marriage-statistics/","2016-07-14T00:46:20.100Z","2016-07-14T00:46:20.100Z"
"1npw06stcb","healthandsafety","Do you worry about drug use among young adults in America?","Yes","No",0,0,0,"A 2013 Gallup survey found that 2/3 of 18-29 year olds think pot should be legal.","","","2016-07-14T00:46:36.019Z","2016-07-14T00:46:36.019Z"
"1op6vybd5m","environmental","Are you scared about dying by being eaten by sharks?","Yes","No",0,0,0,"","","","2016-07-14T00:46:17.475Z","2016-07-14T00:46:17.475Z"
"1rgin5vtts","environmental","Do you make a consious effort to reduce the amount of garbage you produce?","Yes","No",0,0,0,"Each person in the U.S. produces about 4 pounds (2 kg) of garbage a day.","Wehr, Kevin. 2011. Green Culture: An A-to-Z Guide","http://facts.randomhistory.com/pollution-facts.html","2016-07-14T00:46:14.933Z","2016-07-14T00:46:14.933Z"
"1th78o0xb2","healthandsafety","Have you ever driven faster than 100 mph on the highway?","Yes","No",0,0,0,"According to Men's Health, 88% of guys say they have gone 100 mph or faster on the highway.","","","2016-07-14T00:46:37.200Z","2016-07-14T00:46:37.200Z"
"1uhdam9ksq","ethical","Do you think most affairs happen with co-workers?","Yes","No",0,0,0,"According to the Journal of Marital and Family Therapy, 36% of men and women who admit to having an affair committed the affair with a co-worker.","American Association for Marriage and Family Therapy","http://www.statisticbrain.com/infidelity-statistics/","2016-07-14T01:37:46.660Z","2016-07-14T01:37:46.660Z"
"1x7da05u8x","socialandpolitical","Do you think its time for an independent to be in the white house?","Yes","No",0,0,0,"","","","2016-07-14T00:46:47.020Z","2016-07-14T00:46:47.020Z"
"1xco3eu5gg","financial","Would you say that you spend more money than you make?","Yes","No",0,0,0,"According to WalletHub, 19% of Americans spend more than they make.","WalletHub","","2016-07-14T01:37:51.915Z","2016-07-14T01:37:51.915Z"
"1y6jrnx85w","recreational","Do you like to run in marathons?","Yes","No",0,0,0,"","","","2016-07-14T01:38:06.618Z","2016-07-14T01:38:06.618Z"
"1yj8d3egya","healthandsafety","Do you believe you are at greater risk of being a victim of violent crime in your city compared to the rest of the country?","Yes","No",0,0,0,"16.13/100000","","","2016-07-14T01:37:57.426Z","2016-07-14T01:37:57.426Z"
"21lxwp2wf6","socialandpolitical","Do you assoicate Republicans with rich white men?","Yes","No",0,0,0,"","","","2016-07-14T00:46:44.916Z","2016-07-14T00:46:44.916Z"
"232jqsoflm","environmental","Do you know how large your carbon footprint is?","Yes","No",0,0,0,"","","","2016-07-14T00:46:18.429Z","2016-07-14T00:46:18.429Z"
"24dk75epfi","recreational","Would you play in a recreational sports league?","Yes","No",0,0,0,"","","","2016-07-14T00:46:38.876Z","2016-07-14T00:46:38.876Z"
"27ncdmvsw0","socialandpolitical","Do you think Bernie Sanders is more qualified than Clinton?","Yes","No",0,0,0,"","","","2016-07-14T00:46:47.674Z","2016-07-14T00:46:47.674Z"
"282dhc42o0","healthandsafety","Do you take greater precautions swimming when there is no lifeguard on duty?","Yes","No",0,0,0,"Data from the U.S. Lifesaving Association (USLA) shows that 5 out of 6 open water drownings occur on unguarded stretches of beach.","","","2016-07-14T01:38:01.659Z","2016-07-14T01:38:01.659Z"
"28y8c5ribb","financial","Do you think being a parent makes someone a better entrepreneur?","Yes","No",0,0,0,"According to a report titled äóěThe Anatomy of an Entrepreneuräóť by the Kauffman Foundation for Entrepreneurship,  59.7 percent of respondents indicated they had at least one child when they launched their first business, and 43.5 percent had two or more children.","OnStartups.com","http://onstartups.com/tabid/3339/bid/10561/12-Facts-About-Entrepreneurs-That-Will-Likely-Surprise-You.aspx","2016-07-14T01:37:54.420Z","2016-07-14T01:37:54.420Z"
"2c1lkvbdub","ethical","Do you think women lie more often than men?","Yes","No",0,0,0,"According to the Statistic Brain Research Institute, 80% of women admit to occasionally telling ""harmless"" half-truths.","Statistic Brain Research Institute","http://www.statisticbrain.com/lying-statistics/","2016-07-14T01:37:47.122Z","2016-07-14T01:37:47.122Z"
"2ek0b9047b","healthandsafety","Do you think it is dangerous to text while driving?","Yes","No",0,0,0,"","","","2016-07-14T01:37:57.073Z","2016-07-14T01:37:57.073Z"
"2lo5o09vt6","socialandpolitical","Do you think Hilary Clinton is more qualified than Sanders?","Yes","No",1,0,1,"","","","2016-07-14T00:46:47.888Z","2016-07-14T00:46:47.888Z"
"2mrbqqok2g","recreational","Do you think alcohol is safer than marijuana?","safer","less safe",0,0,0,"","","","2016-07-14T00:46:39.270Z","2016-07-14T00:46:39.270Z"
"2nog673e8l","financial","Do you think most women care about how much money a man makes?","Yes","No",0,0,0,"88% of women believe money to be very important in a relationship.","Statistic Brain Research Institute","http://www.statisticbrain.com/dating-relationship-stats/","2016-07-14T01:37:51.848Z","2016-07-14T01:37:51.848Z"
"2pmxh77kme","healthandsafety","Do you think you are at a higher risk of death from weather related causes in the Southern U.S.?","Yes","No",0,0,0,"","","","2016-07-14T01:37:59.811Z","2016-07-14T01:37:59.811Z"
"2qmts3fr99","ethical","Would you stay with your significant other if you found out they cheated on you?","Yes","No",0,0,0,"According to the Journal of Marital and Family Therapy, only 31% of marriages last after an affair has been admitted to or discovered","American Association for Marriage and Family Therapy","http://www.statisticbrain.com/infidelity-statistics/","2016-07-14T01:37:46.868Z","2016-07-14T01:37:46.868Z"
"2rsbqgdn0w","healthandsafety","Do you know a woman with breast implants?","Yes","No",0,0,0,"About 2 million women in the U.S. have breast implants. The average age of a woman who gets implants is 34, and 90% do it after they have had kids. 6% of women with implants return for a size adjustment or to have them taken out altogether","","","2016-07-14T00:46:34.208Z","2016-07-14T00:46:34.208Z"
"2ryildws4g","healthandsafety","Do you think you will get HPV at some point in your lifetime?","Yes","No",0,0,0,"About 79 million Americans are currently infected with HPV. About 14 million people become newly infected each year. HPV is so common that most sexually-active men and women will get at least one type of HPV at some point in their lives.","","","2016-07-14T00:46:34.630Z","2016-07-14T00:46:34.630Z"
"2troxnwq4w","environmental","Do you think people who drive are more likely to litter than people who don't?","Yes","No",0,0,0,"People who litter are more likely to be the following: men between 18-34 years old, smokers, people who eat at fast food places at least two times per week, and drive more than 50 miles a day.","Keep America Beautiful","http://facts.randomhistory.com/pollution-facts.html","2016-07-14T00:46:14.303Z","2016-07-14T00:46:14.303Z"
"2venb5ra9a","financial","Do you think you are saving enough money for retirement?","Yes","No",0,0,0,"Waiting to save for retirement until age 45 means you have to put away three times as much as someone who starts saving at age 25.","The Center for Retirement Research","http://www.frugalrules.com/scary-money-statistics-change/","2016-07-14T01:37:52.871Z","2016-07-14T01:37:52.871Z"
"2wej70iy0t","recreational","Have you ever been in a gang?","Yes","No",0,0,0,"","","","2016-07-14T00:46:43.129Z","2016-07-14T00:46:43.129Z"
"2wms6w1l4t","financial","Do you have a brother or sister who has started his or her own company?","Yes","No",0,0,0,"According to a report titled äóěThe Anatomy of an Entrepreneuräóť by the Kauffman Foundation for Entrepreneurship, 15.2% of business founders had a sibling that previously started a business.","OnStartups.com","http://onstartups.com/tabid/3339/bid/10561/12-Facts-About-Entrepreneurs-That-Will-Likely-Surprise-You.aspx","2016-07-14T00:46:27.424Z","2016-07-14T00:46:27.424Z"
"2wqc6isk3s","financial","Do you think white women make more money than Indian women?","Yes","No",0,0,0,"","","","2016-07-14T01:37:56.168Z","2016-07-14T01:37:56.168Z"
"2x04aroa9n","recreational","Do you prefer to hike in the morning?","morning","other time",2,1,3,"","","","2016-07-14T00:46:42.499Z","2016-07-14T00:46:42.499Z"
"2x8s76gs1c","environmental","Earth is the only planet in our solar system with volcanoes.","TRUE","FALSE",0,0,0,"Other planets and moons in our solar system have volcanoes, but they do not have mountain ranges like Earth because only Earth has plate tectonics.","National Geographic","http://facts.randomhistory.com/2009/09/17_earth.html","2016-07-14T00:46:16.092Z","2016-07-14T00:46:16.092Z"
"2xpu56tshe","recreational","Do you drink by yourself?","Yes","No",0,0,0,"","","","2016-07-14T01:38:04.911Z","2016-07-14T01:38:04.911Z"
"2yotye5dw8","recreational","Do you drink with groups of people?","Yes","No",0,0,0,"","","","2016-07-14T01:38:04.866Z","2016-07-14T01:38:04.866Z"
"2yxjhos54q","socialandpolitical","Do you think Hilary Clinton is more qualified than Sanders?","Yes","No",0,0,0,"","","","2016-07-14T01:38:10.935Z","2016-07-14T01:38:10.935Z"
"32b72whfma","financial","Do you think the United States will ever be out of its financial debt?","Yes","No",0,0,0,"","","","2016-07-14T00:46:28.275Z","2016-07-14T00:46:28.275Z"
"34bw7s2w6c","ethical","Would you ever have sex for money?","Yes","No",0,0,0,"","","","2016-07-14T00:46:24.172Z","2016-07-14T00:46:24.172Z"
"350by1hhpj","socialandpolitical","When it comes to money are you careful with how much you spend?","Yes","No",0,0,0,"","","","2016-07-14T00:46:46.874Z","2016-07-14T00:46:46.874Z"
"3abld575dp","financial","Do you think MLB players should make more money?","Yes","No",0,0,0,"","","","2016-07-14T01:37:55.722Z","2016-07-14T01:37:55.722Z"
"3b7g6x0gth","ethical","In the USA, more murders take place in states where capital punishment is allowed.","TRUE","FALSE",0,0,0,"In 2010, the murder rate in states where the death penalty has been abolished was 4% per 100,000 people. In states where the death penalty is used, the figure was 5%.  The gap between death penalty states and non-death penalty states rose considerably from 4% difference in 1990 to 25% in 2010.","BBC","http://www.bbc.co.uk/ethics/capitalpunishment/against_1.shtml#section_8","2016-07-14T00:46:22.454Z","2016-07-14T00:46:22.454Z"
"3bubwnu6uk","environmental","Hurricanes have become more destructive in recent years.","TRUE","FALSE",0,0,0,"Five of the 10 most costly hurricanes in the U.S. have occurred since 1990, The years 2000-2009 have seen the most Category 5 hurricanes, with eight.","Hojem, Benjamin. 2010. Hurricanes: Weathering the Storm","http://facts.randomhistory.com/hurricane-facts.html","2016-07-14T01:37:43.391Z","2016-07-14T01:37:43.391Z"
"3drhhj3uxu","financial","Do you think you should make a down payment of 20% to purchase a home?","Yes","No",0,0,0,"In a 2015 survey by Fannie Mae, 42% of those ages 18-34 said they didnäó»t know what lenders expect of them, and 73% were unaware of lower down-payment options that range from 3% to 5% of the homeäó»s purchase price, as compared with the commonly cited lender preference of 20%.","NerdWallet","https://www.nerdwallet.com/blog/mortgages/millennials-and-homebuying/?trk=nw_hp4_bv_indexpgtitle","2016-07-14T01:37:53.951Z","2016-07-14T01:37:53.951Z"
"3dx7r7b985","ethical","Should some animals have the same moral rights as humans?","Yes","No",0,0,0,"Last year, an international group of scientists signed the Cambridge Declaration on Consciousness in which they proclaimed their support for the idea that many animals are conscious and aware to the degree that humans are äóî a list of animals that includes all mammals, birds, and even the octopus.","io9. Gizmodo","http://io9.gizmodo.com/these-unresolved-ethical-questions-are-about-to-get-rea-512883836","2016-07-14T01:37:49.028Z","2016-07-14T01:37:49.028Z"
"3dyaf837yf","financial","Are there times when you are not sure where your next meal is coming from?","Yes","No",0,0,0,"In 2012, the USDA estimated that 14.5% (or 17.6 million) of US households were food insecure meaning that they had difficulty at some time during the year providing enough food for all their members due to a lack of resources.","","","2016-07-14T00:46:24.987Z","2016-07-14T00:46:24.987Z"
"3dyxxb7gtf","financial","Is it possible to live on a dollar a day?","Yes","No",0,0,0,"In the country of Mali, 72.8% of the population live on less than a dollar a day","","","2016-07-14T01:37:52.757Z","2016-07-14T01:37:52.757Z"
"3huticsm49","environmental","Do you think major cities have a responsibility to implement green building policies?","Yes","No",0,0,0,"Chicago, Illinois now has more than 517,000 acres (209,222 hectares) of vegetated roofsäóîmore than any other U.S. cityäóîwhich are helping to catch storm water, cool the urban environment, and provide rooftop gardens.","National Geographic","http://environment.nationalgeographic.com.au/environment/freshwater/pollution/","2016-07-14T01:37:44.056Z","2016-07-14T01:37:44.056Z"
"3jnuwaiwur","healthandsafety","Do you believe using a tanning bed is bad for your health?","Yes","No",0,0,0,"23% of people who use tanning beds four or more times a year are diagnosed with skin cancer","","","2016-07-14T01:37:57.379Z","2016-07-14T01:37:57.379Z"
"3ki7g22djb","ethical","If you spoke a different language than your spouse, would you speak poorly of them with your other same language friends in front of them?","Yes","No",0,0,0,"","","","2016-07-14T01:37:50.137Z","2016-07-14T01:37:50.137Z"
"3l5c01a7wp","environmental","Commercial nuclear power has only been around for about 20 years.","TRUE","FALSE",0,1,1,"The worldäó»s first nuclear power plant to create electricity for a power grid was USSRäó»s Obninsk Nuclear Power Plant, which opened on June 27, 1954. In the U.S., the first commercial nuclear generator was the Shippingport Reactor in Pennsylvania, which opened in 1957.","Ferguson, Charles D. 2011. Nuclear Energy: What Everyone Needs to Know.","http://facts.randomhistory.com/nuclear-energy-facts.html","2016-07-14T01:37:43.185Z","2016-07-14T01:37:43.185Z"
"3ltoqthm9w","healthandsafety","Who do you think is more likely to be a victim of a weather related fatality, men or women?","Men","Women",0,0,0,"In 2013, 306 males were victims of weather related fatalities compared to 125 females (68% to 28%, respectively).","","","2016-07-14T00:46:32.160Z","2016-07-14T00:46:32.160Z"
